Timestamp,GPSYear,GPSMonth,GPSday,GPSHour,GPSMinute,GPSSecond,GPSHundredth,voltage,GPSFix,numSats,HDOP,Latitude,Longitude,GPSSpeed,GPSCourse,sysCal,gyroCal,accelCal,magCal,rawAccelX,rawAccelY,rawAccelZ,accelX,accelY,accelZ,rawGyroX,rawGyroY,rawGyroZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,magX,magY,magZ,roll,pitch,yaw,linAccelX,linAccelY,linAccelZ,quatW,quatX,quatY,quatZ,imuTemp,state
1969-12-31T19:36:16.747000,747,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,4.969892501831055,0.05503492057323456,9.908679008483887,1.334302306175232,0.05660437420010567,9.888463973999023,-0.32375001907348633,-0.6475000381469727,-0.2800000011920929,-0.0681266263127327,-0.5443441867828369,-0.5443441867828369,0.0,0.0,0.0,0.0,0.0,0.0,0.3156079053878784,0.4512462317943573,243.50071716308594,1.4115628004074097,0.0025687129236757755,0.07895918935537338,0.8503391146659851,0.000269823387498036,0.0047978600487113,0.5262050032615662,0.0,1
1969-12-31T19:36:16.758000,758,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-1.9214366674423218,0.08614161610603333,9.750751495361328,0.7450218200683594,0.06195054203271866,9.86353874206543,-0.3062500059604645,-0.875,-0.26249998807907104,-0.09077809005975723,-0.547561764717102,-0.547561764717102,0.0,0.0,0.0,0.0,0.0,0.0,0.3159191310405731,0.42681246995925903,243.49740600585938,0.8180989027023315,0.007861418649554253,0.05400282144546509,0.8503546714782715,0.0003844712337013334,0.004617965780198574,0.5261812806129456,0.0,1
1969-12-31T19:36:16.769000,769,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-5.998806476593018,0.05024927482008934,9.982856750488281,-0.4755939245223999,0.05983264371752739,9.88513469696045,-0.367499977350235,-1.0325000286102295,-0.3499999940395355,-0.11710122972726822,-0.566504955291748,-0.566504955291748,0.0,0.0,0.0,0.0,0.0,0.0,0.3160322308540344,0.43776175379753113,243.49398803710938,-0.40064215660095215,0.0057242331095039845,0.0756135955452919,0.8503701090812683,0.0003351714403834194,0.004699726589024067,0.5261555314064026,0.0,1
1969-12-31T19:36:16.780000,780,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.8805587291717529,0.0023928226437419653,9.858429908752441,-0.548891544342041,0.04943618178367615,9.880301475524902,-0.2800000011920929,-0.7262499332427979,-0.5162500143051147,-0.132596954703331,-0.5737223029136658,-0.5737223029136658,0.0,0.0,0.0,0.0,0.0,0.0,0.31576603651046753,0.45076534152030945,243.4905548095703,-0.47171342372894287,-0.004626547452062368,0.07079599052667618,0.850385844707489,0.00027363054687157273,0.004794992972165346,0.5261295437812805,0.0,1
1969-12-31T19:36:16.791000,791,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.29431718587875366,0.02153540402650833,9.841679573059082,-0.5028142333030701,0.04438621178269386,9.873311042785645,-0.13124999403953552,-0.6737499833106995,-0.49000000953674316,-0.1324688196182251,-0.5747970938682556,-0.5747970938682556,0.0,0.0,0.0,0.0,0.0,0.0,0.3153550624847412,0.46239644289016724,243.48709106445312,-0.4236447215080261,-0.009606074541807175,0.06382163614034653,0.8504014611244202,0.0002173231914639473,0.004879414103925228,0.5261034369468689,0.0,1
1969-12-31T19:36:16.802000,802,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.1627119481563568,0.035892341285943985,9.899106979370117,-0.441256582736969,0.042848844081163406,9.87798023223877,-0.13124999403953552,-0.7262499332427979,-0.5687500238418579,-0.13235287368297577,-0.5843819379806519,-0.5843819379806519,0.0,0.0,0.0,0.0,0.0,0.0,0.3149000406265259,0.472150981426239,243.48358154296875,-0.360416978597641,-0.011065459810197353,0.06850392371416092,0.8504173755645752,0.00016931144637055695,0.0049497089348733425,0.5260770916938782,0.0,1
1969-12-31T19:36:16.813000,813,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.18424734473228455,0.05024927482008934,9.824929237365723,-0.3947385549545288,0.044188302010297775,9.868377685546875,-0.10499999672174454,-0.6650000214576721,-0.48125001788139343,-0.12975093722343445,-0.5828979015350342,-0.5828979015350342,0.0,0.0,0.0,0.0,0.0,0.0,0.31449928879737854,0.480542927980423,243.4801025390625,-0.3124621510505676,-0.009657328948378563,0.05891343206167221,0.8504332304000854,0.00012796203373000026,0.00501014431938529,0.5260508060455322,0.0,1
1969-12-31T19:36:16.824000,824,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.9451649785041809,0.031106693670153618,9.863214492797852,-0.49436435103416443,0.04182056337594986,9.867443084716797,0.008750000037252903,-0.5512499809265137,-0.4724999964237213,-0.11657604575157166,-0.5735345482826233,-0.5735345482826233,0.0,0.0,0.0,0.0,0.0,0.0,0.3140973448753357,0.491843044757843,243.47665405273438,-0.41015323996543884,-0.011956159956753254,0.05799368768930435,0.8504489660263062,7.325502519961447e-05,0.005092159379273653,0.5260248184204102,0.0,1
1969-12-31T19:36:16.835000,835,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-5.015356540679932,0.09092725813388824,9.76989459991455,-1.3126524686813354,0.050708748400211334,9.849786758422852,0.1574999988079071,-0.21875,-0.6562499403953552,-0.09050459414720535,-0.5556003451347351,-0.5556003451347351,0.0,0.0,0.0,0.0,0.0,0.0,0.3140881061553955,0.5267542600631714,243.47329711914062,-1.2224642038345337,-0.0030661027412861586,0.04039131477475166,0.8504635691642761,-8.692235132912174e-05,0.005351214203983545,0.5259984731674194,0.0,1
1969-12-31T19:36:16.846000,846,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,0.6245267391204834,0.05742774158716202,9.846465110778809,-0.962027907371521,0.051924869418144226,9.849185943603516,0.1574999988079071,-0.26249998807907104,-0.6737499833106995,-0.0669131875038147,-0.5440679788589478,-0.5440679788589478,0.0,0.0,0.0,0.0,0.0,0.0,0.31423047184944153,0.5515837669372559,243.47000122070312,-0.8675885796546936,-0.0018741386011242867,0.03983040153980255,0.8504781723022461,-0.00019968394190073013,0.005536148324608803,0.5259729623794556,0.0,1
1969-12-31T19:36:16.857000,857,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,2.54117751121521,0.07178468257188797,9.822537422180176,-0.3279566168785095,0.05551944673061371,9.844362258911133,0.07000000029802322,-0.5337499976158142,-0.6650000214576721,-0.053889334201812744,-0.5513594150543213,-0.5513594150543213,0.0,0.0,0.0,0.0,0.0,0.0,0.31454116106033325,0.5579423904418945,243.46665954589844,-0.23242859542369843,0.0016673143254593015,0.035017695277929306,0.850493311882019,-0.000226403892156668,0.0055847736075520515,0.5259479284286499,0.0,1
1969-12-31T19:36:16.868000,868,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,4.6301116943359375,0.08614161610603333,9.992427825927734,0.5694411993026733,0.061061982065439224,9.871161460876465,-0.14875000715255737,-0.7612499594688416,-0.6212499737739563,-0.0629129484295845,-0.5698019862174988,-0.5698019862174988,0.0,0.0,0.0,0.0,0.0,0.0,0.3149610459804535,0.5381170511245728,243.46324157714844,0.6615749001502991,0.007137780077755451,0.06178458407521248,0.850509524345398,-0.00013212597696110606,0.005439562723040581,0.5259233117103577,0.0,1
1969-12-31T19:36:16.878000,878,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,0.3206382095813751,0.004785645287483931,9.970891952514648,0.5244084596633911,0.050876107066869736,9.889212608337402,-0.26249998807907104,-0.699999988079071,-0.4462500214576721,-0.08189864456653595,-0.5702400803565979,-0.5702400803565979,0.0,0.0,0.0,0.0,0.0,0.0,0.3149870038032532,0.5196892023086548,243.45980834960938,0.6133871674537659,-0.003052704269066453,0.07980725169181824,0.8505256175994873,-4.719461503555067e-05,0.0053029111586511135,0.5258985757827759,0.0,1
1969-12-31T19:36:16.889000,889,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.1818545162677765,0.0526420958340168,9.851250648498535,0.3965766429901123,0.05119574815034866,9.882341384887695,-0.14875000715255737,-0.612500011920929,-0.5337499976158142,-0.08825787156820297,-0.5706204175949097,-0.5706204175949097,0.0,0.0,0.0,0.0,0.0,0.0,0.31499218940734863,0.5050116181373596,243.45635986328125,0.4830423593521118,-0.002734074369072914,0.07291362434625626,0.8505416512489319,2.0362986106192693e-05,0.005193994380533695,0.5258737206459045,0.0,1
1969-12-31T19:36:16.900000,900,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.20338992774486542,0.04785645380616188,9.820144653320312,0.2879842221736908,0.05059134587645531,9.871084213256836,-0.16625000536441803,-0.5950000286102295,-0.4987499713897705,-0.09567686170339584,-0.5674899220466614,-0.5674899220466614,0.0,0.0,0.0,0.0,0.0,0.0,0.31494516134262085,0.49353817105293274,243.4529571533203,0.37248554825782776,-0.003330511972308159,0.06163801625370979,0.8505576848983765,7.282167644007131e-05,0.005108616314828396,0.5258488655090332,0.0,1
1969-12-31T19:36:16.911000,911,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,1.825723648071289,0.07657032459974289,9.913464546203613,0.5663111209869385,0.05529347434639931,9.878754615783691,0.008750000037252903,-0.5862500071525574,-0.5337499976158142,-0.08574327081441879,-0.5665025115013123,-0.5665025115013123,0.0,0.0,0.0,0.0,0.0,0.0,0.3150840699672699,0.47406071424484253,243.4495391845703,0.6474776864051819,0.0013476735912263393,0.06928159296512604,0.8505735993385315,0.0001633847423363477,0.004964678548276424,0.525824248790741,0.0,1
1969-12-31T19:36:16.921000,921,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,6.900900363922119,0.0526420958340168,10.06421184539795,1.7128556966781616,0.054813582450151443,9.912322044372559,-0.26249998807907104,-0.699999988079071,-0.3762499988079071,-0.1025572344660759,-0.5627613663673401,-0.5627613663673401,0.0,0.0,0.0,0.0,0.0,0.0,0.3151211440563202,0.4222707450389862,243.44615173339844,1.785155177116394,0.0008610487566329539,0.10277985036373138,0.8505899906158447,0.00040145404636859894,0.004580419510602951,0.5258010625839233,0.0,1
1969-12-31T19:36:16.932000,932,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,1.8592231273651123,0.004785645287483931,9.731610298156738,1.7393478155136108,0.045758653432130814,9.879613876342773,-0.29750001430511475,-0.7437500357627869,-0.3149999976158142,-0.12110114097595215,-0.5583598613739014,-0.5583598613739014,0.0,0.0,0.0,0.0,0.0,0.0,0.31481486558914185,0.36978980898857117,243.44277954101562,1.8026618957519531,-0.008141775615513325,0.07000858336687088,0.8506062030792236,0.0006401212885975838,0.00418944051489234,0.5257779955863953,0.0,1
1969-12-31T19:36:16.943000,943,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-4.398008346557617,0.1579263061285019,9.738787651062012,0.6285018920898438,0.06606071442365646,9.854125022888184,-0.14000000059604645,-0.8662499785423279,-0.33250001072883606,-0.1228988915681839,-0.56376713514328,-0.56376713514328,0.0,0.0,0.0,0.0,0.0,0.0,0.31509271264076233,0.34892112016677856,243.43939208984375,0.6882429122924805,0.012112590484321117,0.044497668743133545,0.8506219983100891,0.0007380583556368947,0.004035786725580692,0.5257534980773926,0.0,1
1969-12-31T19:36:16.954000,954,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-5.90787935256958,0.10049854964017868,9.946964263916016,-0.554566502571106,0.07229387760162354,9.870928764343262,-0.20999999344348907,-0.8225000500679016,-0.367499977350235,-0.13118436932563782,-0.5678847432136536,-0.5678847432136536,0.0,0.0,0.0,0.0,0.0,0.0,0.31550610065460205,0.36245855689048767,243.43597412109375,-0.492507666349411,0.018275050446391106,0.06131628155708313,0.8506374955177307,0.0006791375344619155,0.004138152580708265,0.5257276892662048,0.0,1
1969-12-31T19:36:16.965000,965,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-1.1485549211502075,0.05742774158716202,9.903892517089844,-0.6620768904685974,0.06960314512252808,9.8768949508667,-0.14875000715255737,-0.6387500166893005,-0.5337499976158142,-0.13285529613494873,-0.5703059434890747,-0.5703059434890747,0.0,0.0,0.0,0.0,0.0,0.0,0.31582924723625183,0.3790343403816223,243.43252563476562,-0.5971800088882446,0.015529089607298374,0.06730178743600845,0.8506529927253723,0.0006056142156012356,0.0042626624926924706,0.5257015824317932,0.0,1
1969-12-31T19:36:16.976000,976,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.27278175950050354,0.0526420958340168,9.841679573059082,-0.5916154384613037,0.06653323769569397,9.87052059173584,-0.16625000536441803,-0.699999988079071,-0.5162500143051147,-0.13603197038173676,-0.5752918124198914,-0.5752918124198914,0.0,0.0,0.0,0.0,0.0,0.0,0.3160470426082611,0.3935045301914215,243.42909240722656,-0.5242410898208618,0.012421996332705021,0.06094293296337128,0.8506687879562378,0.0005409762379713356,0.00437106192111969,0.5256754755973816,0.0,1
1969-12-31T19:36:16.987000,987,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.20578275620937347,0.038285162299871445,9.882357597351074,-0.5217807292938232,0.06142040714621544,9.872663497924805,-0.23624999821186066,-0.6562499403953552,-0.5074999928474426,-0.1455651968717575,-0.5761597156524658,-0.5761597156524658,0.0,0.0,0.0,0.0,0.0,0.0,0.3160669505596161,0.4058966636657715,243.42562866210938,-0.45228466391563416,0.007305832579731941,0.06310156732797623,0.850684404373169,0.0004844091017730534,0.0044631315395236015,0.5256493091583252,0.0,1
1969-12-31T19:36:17,0,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-0.17706887423992157,0.02153540402650833,9.836893081665039,-0.45938876271247864,0.05420132353901863,9.866189002990723,-0.09624999761581421,-0.6212499737739563,-0.4987499713897705,-0.14087408781051636,-0.574029266834259,-0.574029266834259,0.0,0.0,0.0,0.0,0.0,0.0,0.3159015476703644,0.41645902395248413,243.42218017578125,-0.3880842924118042,0.00011514603829709813,0.05663987249135971,0.8507000803947449,0.00043486437061801553,0.004540770314633846,0.5256233215332031,0.0,1
1969-12-31T19:36:17.011000,11,2023,1,12,14,36,11,15,0.0,False,0,0,0,0,0,0,0,0,0,0,-5.54895544052124,0.04546362906694412,10.02592658996582,-1.3805874586105347,0.052619822323322296,9.895101547241211,-0.017500000074505806,-0.4637500047683716,-0.4462500214576721,-0.12913814187049866,-0.5583369731903076,-0.5583369731903076,0.0,0.0,0.0,0.0,0.0,0.0,0.3157448172569275,0.45338109135627747,243.41880798339844,-1.3029614686965942,-0.0014392625307664275,0.08560008555650711,0.8507149815559387,0.00026447721756994724,0.004814142361283302,0.5255969166755676,0.0,1
